#instrument=ARROW,
#ra=18.7708,
#dec=-2.79639,
#alt=22.8958,
#az=128.833,
#tracking=true,
#startTime=1571751370,
#startTimeUTC=2019-10-22T13:36:10.087Z,
#user=atc5,
#fullScan=true,
#completeTime=1571751460,
#completeTimeUTC=2019-10-22T13:37:40.044Z,
frequency, intensity
-800000,2.046
-795000,2.021
-790000,2.014
-785000,1.992
-780000,1.973
-775000,1.97
-770000,1.963
-765000,1.973
-760000,1.97
-755000,1.973
-750000,1.973
-745000,1.992
-740000,1.992
-735000,1.987
-730000,2.002
-725000,1.99
-720000,1.992
-715000,2
-710000,1.987
-705000,1.992
-700000,1.992
-695000,1.99
-690000,1.973
-685000,1.973
-680000,1.99
-675000,1.99
-670000,1.98
-665000,1.992
-660000,2.021
-655000,2.019
-650000,2.021
-645000,2.021
-640000,2.012
-635000,2.012
-630000,2.009
-625000,2.031
-620000,2.041
-615000,2.024
-610000,2.019
-605000,2.021
-600000,2.021
-595000,2.029
-590000,2.029
-585000,2.034
-580000,2.051
-575000,2.043
-570000,2.056
-565000,2.07
-560000,2.07
-555000,2.068
-550000,2.08
-545000,2.07
-540000,2.07
-535000,2.07
-530000,2.09
-525000,2.107
-520000,2.09
-515000,2.097
-510000,2.117
-505000,2.129
-500000,2.163
-495000,2.156
-490000,2.188
-485000,2.205
-480000,2.17
-475000,2.197
-470000,2.207
-465000,2.217
-460000,2.217
-455000,2.236
-450000,2.236
-445000,2.246
-440000,2.236
-435000,2.224
-430000,2.209
-425000,2.224
-420000,2.234
-415000,2.253
-410000,2.246
-405000,2.271
-400000,2.275
-395000,2.28
-390000,2.266
-385000,2.275
-380000,2.266
-375000,2.292
-370000,2.292
-365000,2.302
-360000,2.285
-355000,2.295
-350000,2.295
-345000,2.3
-340000,2.295
-335000,2.295
-330000,2.305
-325000,2.314
-320000,2.341
-315000,2.351
-310000,2.363
-305000,2.354
-300000,2.361
-295000,2.383
-290000,2.383
-285000,2.402
-280000,2.393
-275000,2.412
-270000,2.422
-265000,2.422
-260000,2.441
-255000,2.451
-250000,2.463
-245000,2.471
-240000,2.471
-235000,2.458
-230000,2.441
-225000,2.449
-220000,2.468
-215000,2.498
-210000,2.52
-205000,2.517
-200000,2.542
-195000,2.561
-190000,2.588
-185000,2.607
-180000,2.625
-175000,2.637
-170000,2.637
-165000,2.656
-160000,2.666
-155000,2.686
-150000,2.683
-145000,2.688
-140000,2.7
-135000,2.725
-130000,2.734
-125000,2.729
-120000,2.751
-115000,2.754
-110000,2.776
-105000,2.793
-100000,2.8
-95000,2.813
-90000,2.813
-85000,2.813
-80000,2.813
-75000,2.793
-70000,2.795
-65000,2.773
-60000,2.773
-55000,2.773
-50000,2.773
-45000,2.778
-40000,2.764
-35000,2.715
-30000,2.656
-25000,2.637
-20000,2.585
-15000,2.529
-10000,2.488
-5000,2.471
0,2.437
5000,2.405
10000,2.39
15000,2.375
20000,2.363
25000,2.363
30000,2.361
35000,2.371
40000,2.39
45000,2.4
50000,2.393
55000,2.385
60000,2.38
65000,2.39
70000,2.383
75000,2.393
80000,2.39
85000,2.412
90000,2.412
95000,2.412
100000,2.41
105000,2.419
110000,2.422
115000,2.432
120000,2.451
125000,2.461
130000,2.461
135000,2.451
140000,2.449
145000,2.434
150000,2.441
155000,2.441
160000,2.449
165000,2.422
170000,2.434
175000,2.444
180000,2.451
185000,2.449
190000,2.441
195000,2.468
200000,2.451
205000,2.468
210000,2.49
215000,2.49
220000,2.49
225000,2.495
230000,2.49
235000,2.493
240000,2.498
245000,2.49
250000,2.5
255000,2.498
260000,2.488
265000,2.461
270000,2.449
275000,2.441
280000,2.432
285000,2.412
290000,2.402
295000,2.385
300000,2.383
305000,2.4
310000,2.373
315000,2.371
320000,2.363
325000,2.358
330000,2.361
335000,2.361
340000,2.336
345000,2.358
350000,2.383
355000,2.432
360000,2.432
365000,2.4
370000,2.378
375000,2.363
380000,2.363
385000,2.361
390000,2.356
395000,2.363
400000,2.373
405000,2.363
410000,2.373
415000,2.383
420000,2.375
425000,2.373
430000,2.373
435000,2.383
440000,2.371
445000,2.363
450000,2.363
455000,2.371
460000,2.378
465000,2.393
470000,2.383
475000,2.375
480000,2.383
485000,2.373
490000,2.368
495000,2.373
500000,2.383
505000,2.383
510000,2.39
515000,2.397
520000,2.397
525000,2.393
530000,2.412
535000,2.412
540000,2.402
545000,2.407
550000,2.383
555000,2.412
560000,2.429
565000,2.441
570000,2.434
575000,2.41
580000,2.41
585000,2.41
590000,2.405
595000,2.422
600000,2.402
605000,2.419
610000,2.4
615000,2.393
620000,2.412
625000,2.415
630000,2.422
635000,2.397
640000,2.412
645000,2.412
650000,2.424
655000,2.402
660000,2.419
665000,2.419
670000,2.41
675000,2.402
680000,2.402
685000,2.393
690000,2.402
695000,2.432
700000,2.432
705000,2.417
710000,2.407
715000,2.402
720000,2.412
725000,2.419
730000,2.419
735000,2.41
740000,2.41
745000,2.432
750000,2.429
755000,2.402
760000,2.429
765000,2.441
770000,2.429
775000,2.429
780000,2.441
785000,2.432
790000,2.456
795000,2.461
800000,2.476
805000,2.466
810000,2.449
815000,2.463
820000,2.456
825000,2.458
830000,2.451
835000,2.49
840000,2.488
845000,2.51
850000,2.49
855000,2.476
860000,2.48
865000,2.456
870000,2.468
875000,2.483
880000,2.49
885000,2.493
890000,2.461
895000,2.48
900000,2.493
905000,2.52
910000,2.52
915000,2.5
920000,2.485
925000,2.517
930000,2.49
935000,2.48
940000,2.48
945000,2.498
950000,2.495
955000,2.517
960000,2.52
965000,2.529
970000,2.544
975000,2.568
980000,2.537
985000,2.52
990000,2.522
995000,2.515
1000000,2.549
1005000,2.539
1010000,2.539
1015000,2.529
1020000,2.546
1025000,2.568
1030000,2.554
1035000,2.546
1040000,2.539
1045000,2.52
1050000,2.51
1055000,2.527
1060000,2.517
1065000,2.527
1070000,2.52
1075000,2.529
1080000,2.554
1085000,2.529
1090000,2.559
1095000,2.549
1100000,2.549
1105000,2.537
1110000,2.554
1115000,2.573
1120000,2.568
1125000,2.588
1130000,2.568
1135000,2.568
1140000,2.578
1145000,2.563
1150000,2.529
1155000,2.546
1160000,2.559
1165000,2.556
1170000,2.539
1175000,2.546
1180000,2.549
1185000,2.546
1190000,2.566
1195000,2.568
1200000,2.566
