#instrument=ARROW,
#ra=20.1325,
#dec=32.3072,
#alt=41.7297,
#az=88.7833,
#tracking=true,
#startTime=1571752415,
#startTimeUTC=2019-10-22T13:53:35.524Z,
#user=atc5,
#fullScan=true,
#completeTime=1571752505,
#completeTimeUTC=2019-10-22T13:55:05.684Z,
frequency, intensity
-800000,2.002
-795000,1.963
-790000,1.953
-785000,1.943
-780000,1.941
-775000,1.941
-770000,1.924
-765000,1.924
-760000,1.914
-755000,1.924
-750000,1.931
-745000,1.919
-740000,1.924
-735000,1.936
-730000,1.951
-725000,1.951
-720000,1.943
-715000,1.948
-710000,1.941
-705000,1.921
-700000,1.921
-695000,1.934
-690000,1.934
-685000,1.907
-680000,1.914
-675000,1.934
-670000,1.931
-665000,1.946
-660000,1.929
-655000,1.917
-650000,1.924
-645000,1.934
-640000,1.953
-635000,1.934
-630000,1.938
-625000,1.943
-620000,1.953
-615000,1.953
-610000,1.97
-605000,2.002
-600000,2.002
-595000,2.002
-590000,2.002
-585000,2
-580000,2.012
-575000,2.009
-570000,2.012
-565000,2.002
-560000,2.012
-555000,2.009
-550000,2.002
-545000,2.009
-540000,2.012
-535000,1.985
-530000,1.992
-525000,2.002
-520000,1.992
-515000,2
-510000,1.99
-505000,1.992
-500000,1.992
-495000,1.997
-490000,2.009
-485000,2.031
-480000,2.021
-475000,2.051
-470000,2.048
-465000,2.039
-460000,2.041
-455000,2.046
-450000,2.048
-445000,2.043
-440000,2.041
-435000,2.053
-430000,2.058
-425000,2.051
-420000,2.048
-415000,2.051
-410000,2.08
-405000,2.087
-400000,2.08
-395000,2.075
-390000,2.061
-385000,2.065
-380000,2.087
-375000,2.1
-370000,2.1
-365000,2.109
-360000,2.109
-355000,2.085
-350000,2.09
-345000,2.08
-340000,2.078
-335000,2.07
-330000,2.097
-325000,2.109
-320000,2.1
-315000,2.109
-310000,2.109
-305000,2.107
-300000,2.119
-295000,2.117
-290000,2.109
-285000,2.119
-280000,2.109
-275000,2.122
-270000,2.109
-265000,2.107
-260000,2.107
-255000,2.119
-250000,2.129
-245000,2.129
-240000,2.129
-235000,2.136
-230000,2.146
-225000,2.148
-220000,2.168
-215000,2.175
-210000,2.161
-205000,2.17
-200000,2.175
-195000,2.188
-190000,2.158
-185000,2.168
-180000,2.178
-175000,2.168
-170000,2.168
-165000,2.168
-160000,2.178
-155000,2.188
-150000,2.192
-145000,2.188
-140000,2.188
-135000,2.188
-130000,2.197
-125000,2.207
-120000,2.224
-115000,2.234
-110000,2.246
-105000,2.256
-100000,2.263
-95000,2.266
-90000,2.283
-85000,2.317
-80000,2.363
-75000,2.371
-70000,2.383
-65000,2.412
-60000,2.412
-55000,2.422
-50000,2.441
-45000,2.5
-40000,2.529
-35000,2.549
-30000,2.598
-25000,2.649
-20000,2.693
-15000,2.705
-10000,2.734
-5000,2.751
0,2.754
5000,2.773
10000,2.769
15000,2.783
20000,2.742
25000,2.725
30000,2.734
35000,2.715
40000,2.676
45000,2.627
50000,2.59
55000,2.598
60000,2.585
65000,2.544
70000,2.52
75000,2.51
80000,2.5
85000,2.498
90000,2.5
95000,2.471
100000,2.441
105000,2.432
110000,2.41
115000,2.405
120000,2.402
125000,2.402
130000,2.412
135000,2.419
140000,2.402
145000,2.38
150000,2.375
155000,2.363
160000,2.363
165000,2.361
170000,2.38
175000,2.393
180000,2.412
185000,2.422
190000,2.419
195000,2.422
200000,2.429
205000,2.422
210000,2.422
215000,2.432
220000,2.432
225000,2.422
230000,2.422
235000,2.41
240000,2.402
245000,2.402
250000,2.373
255000,2.39
260000,2.41
265000,2.402
270000,2.422
275000,2.422
280000,2.441
285000,2.432
290000,2.419
295000,2.415
300000,2.432
305000,2.454
310000,2.468
315000,2.471
320000,2.461
325000,2.48
330000,2.502
335000,2.5
340000,2.48
345000,2.471
350000,2.5
355000,2.568
360000,2.549
365000,2.549
370000,2.539
375000,2.517
380000,2.498
385000,2.476
390000,2.485
395000,2.461
400000,2.478
405000,2.471
410000,2.458
415000,2.441
420000,2.461
425000,2.456
430000,2.449
435000,2.451
440000,2.458
445000,2.461
450000,2.451
455000,2.422
460000,2.41
465000,2.41
470000,2.412
475000,2.412
480000,2.427
485000,2.429
490000,2.432
495000,2.432
500000,2.419
505000,2.412
510000,2.441
515000,2.432
520000,2.449
525000,2.441
530000,2.439
535000,2.432
540000,2.402
545000,2.412
550000,2.402
555000,2.402
560000,2.419
565000,2.415
570000,2.393
575000,2.41
580000,2.424
585000,2.439
590000,2.422
595000,2.422
600000,2.395
605000,2.412
610000,2.422
615000,2.422
620000,2.437
625000,2.437
630000,2.412
635000,2.407
640000,2.41
645000,2.39
650000,2.383
655000,2.407
660000,2.419
665000,2.412
670000,2.422
675000,2.412
680000,2.422
685000,2.41
690000,2.417
695000,2.417
700000,2.41
705000,2.412
710000,2.412
715000,2.4
720000,2.402
725000,2.402
730000,2.407
735000,2.419
740000,2.429
745000,2.402
750000,2.412
755000,2.419
760000,2.419
765000,2.412
770000,2.415
775000,2.422
780000,2.402
785000,2.422
790000,2.402
795000,2.402
800000,2.41
805000,2.4
810000,2.402
815000,2.412
820000,2.39
825000,2.4
830000,2.415
835000,2.432
840000,2.422
845000,2.419
850000,2.439
855000,2.458
860000,2.456
865000,2.458
870000,2.471
875000,2.473
880000,2.461
885000,2.476
890000,2.466
895000,2.488
900000,2.507
905000,2.527
910000,2.517
915000,2.517
920000,2.52
925000,2.5
930000,2.49
935000,2.5
940000,2.5
945000,2.51
950000,2.527
955000,2.52
960000,2.527
965000,2.51
970000,2.517
975000,2.5
980000,2.5
985000,2.512
990000,2.507
995000,2.505
1000000,2.5
1005000,2.49
1010000,2.507
1015000,2.507
