#instrument=ARROW,
#ra=17.9856,
#dec=66.585,
#alt=43.8931,
#az=326.817,
#tracking=true,
#startTime=1636061185,
#startTimeUTC=2021-11-04T21:26:25.760Z,
#user=zy275801,
#fullScan=true,
#completeTime=1636061286,
#completeTimeUTC=2021-11-04T21:28:06.002Z,
frequency, intensity
-800000,1.926
-795000,1.902
-790000,1.904
-785000,1.882
-780000,1.846
-775000,1.865
-770000,1.873
-765000,1.855
-760000,1.86
-755000,1.855
-750000,1.855
-745000,1.865
-740000,1.895
-735000,1.885
-730000,1.885
-725000,1.904
-720000,1.924
-715000,1.921
-710000,1.931
-705000,1.924
-700000,1.929
-695000,1.924
-690000,1.924
-685000,1.924
-680000,1.929
-675000,1.943
-670000,1.943
-665000,1.941
-660000,1.941
-655000,1.941
-650000,1.907
-645000,1.904
-640000,1.855
-635000,1.882
-630000,1.902
-625000,1.909
-620000,1.921
-615000,1.934
-610000,1.941
-605000,1.943
-600000,1.953
-595000,1.96
-590000,1.936
-585000,1.904
-580000,1.934
-575000,1.931
-570000,1.951
-565000,1.968
-560000,1.982
-555000,1.953
-550000,1.953
-545000,1.973
-540000,1.963
-535000,1.973
-530000,1.97
-525000,1.956
-520000,1.943
-515000,1.914
-510000,1.931
-505000,1.931
-500000,1.934
-495000,1.965
-490000,1.973
-485000,1.978
-480000,1.992
-475000,1.992
-470000,2
-465000,2.019
-460000,2.012
-455000,2.024
-450000,2.009
-445000,1.982
-440000,1.973
-435000,1.982
-430000,1.992
-425000,2
-420000,1.973
-415000,1.975
-410000,1.995
-405000,2.021
-400000,2.021
-395000,2.017
-390000,2.029
-385000,2.029
-380000,2.012
-375000,2.012
-370000,1.982
-365000,1.992
-360000,1.968
-355000,1.973
-350000,1.963
-345000,1.943
-340000,1.953
-335000,1.987
-330000,2.031
-325000,2.031
-320000,2.041
-315000,2.051
-310000,2.043
-305000,2.048
-300000,2.051
-295000,2.058
-290000,2.058
-285000,2.068
-280000,2.09
-275000,2.087
-270000,2.09
-265000,2.078
-260000,2.08
-255000,2.061
-250000,2.061
-245000,2.041
-240000,2.036
-235000,2.058
-230000,2.1
-225000,2.1
-220000,2.1
-215000,2.09
-210000,2.09
-205000,2.097
-200000,2.09
-195000,2.051
-190000,2.041
-185000,2.041
-180000,2.026
-175000,2.031
-170000,2.061
-165000,2.058
-160000,2.075
-155000,2.09
-150000,2.097
-145000,2.09
-140000,2.102
-135000,2.107
-130000,2.107
-125000,2.092
-120000,2.097
-115000,2.097
-110000,2.1
-105000,2.109
-100000,2.104
-95000,2.129
-90000,2.129
-85000,2.126
-80000,2.109
-75000,2.129
-70000,2.139
-65000,2.139
-60000,2.134
-55000,2.139
-50000,2.163
-45000,2.173
-40000,2.207
-35000,2.244
-30000,2.236
-25000,2.253
-20000,2.261
-15000,2.263
-10000,2.244
-5000,2.217
0,2.214
5000,2.207
10000,2.253
15000,2.263
20000,2.275
25000,2.305
30000,2.292
35000,2.292
40000,2.317
45000,2.31
50000,2.314
55000,2.329
60000,2.317
65000,2.319
70000,2.314
75000,2.302
80000,2.273
85000,2.263
90000,2.273
95000,2.283
100000,2.263
105000,2.266
110000,2.263
115000,2.249
120000,2.253
125000,2.205
130000,2.188
135000,2.207
140000,2.219
145000,2.227
150000,2.244
155000,2.217
160000,2.209
165000,2.217
170000,2.209
175000,2.207
180000,2.197
185000,2.214
190000,2.219
195000,2.217
200000,2.202
205000,2.188
210000,2.195
215000,2.224
220000,2.236
225000,2.236
230000,2.212
235000,2.197
240000,2.227
245000,2.214
250000,2.227
255000,2.224
260000,2.217
265000,2.207
270000,2.224
275000,2.197
280000,2.205
285000,2.217
290000,2.234
295000,2.256
300000,2.227
305000,2.236
310000,2.246
315000,2.236
320000,2.227
325000,2.224
330000,2.227
335000,2.227
340000,2.236
345000,2.236
350000,2.285
355000,2.344
360000,2.324
365000,2.285
370000,2.227
375000,2.214
380000,2.207
385000,2.227
390000,2.234
395000,2.227
400000,2.224
405000,2.188
410000,2.195
415000,2.195
420000,2.207
425000,2.227
430000,2.227
435000,2.246
440000,2.244
445000,2.207
450000,2.214
455000,2.217
460000,2.217
465000,2.236
470000,2.234
475000,2.219
480000,2.234
485000,2.219
490000,2.207
495000,2.207
500000,2.207
505000,2.217
510000,2.205
515000,2.2
520000,2.156
525000,2.168
530000,2.178
535000,2.148
540000,2.168
545000,2.178
550000,2.197
555000,2.188
560000,2.224
565000,2.227
570000,2.224
575000,2.227
580000,2.227
585000,2.234
590000,2.236
595000,2.266
600000,2.266
605000,2.246
610000,2.207
615000,2.214
620000,2.234
625000,2.246
630000,2.261
635000,2.266
640000,2.263
645000,2.236
650000,2.244
655000,2.244
660000,2.266
665000,2.236
670000,2.244
675000,2.236
680000,2.236
685000,2.239
690000,2.227
695000,2.246
700000,2.246
705000,2.253
710000,2.246
715000,2.244
720000,2.236
725000,2.227
730000,2.227
735000,2.246
740000,2.244
745000,2.236
750000,2.246
755000,2.246
760000,2.253
765000,2.266
770000,2.268
775000,2.278
780000,2.285
