#instrument=ARROW,
#ra=17.9856,
#dec=66.5853,
#alt=43.0506,
#az=327.567,
#tracking=true,
#startTime=1636061790,
#startTimeUTC=2021-11-04T21:36:30.819Z,
#user=cs9527,
#fullScan=true,
#completeTime=1636061891,
#completeTimeUTC=2021-11-04T21:38:11.289Z,
frequency, intensity
-800000,1.821
-795000,1.821
-790000,1.812
-785000,1.836
-780000,1.851
-775000,1.843
-770000,1.855
-765000,1.855
-760000,1.853
-755000,1.863
-750000,1.824
-745000,1.846
-740000,1.855
-735000,1.865
-730000,1.794
-725000,1.777
-720000,1.824
-715000,1.836
-710000,1.855
-705000,1.868
-700000,1.89
-695000,1.904
-690000,1.895
-685000,1.873
-680000,1.87
-675000,1.855
-670000,1.875
-665000,1.882
-660000,1.902
-655000,1.921
-650000,1.904
-645000,1.895
-640000,1.892
-635000,1.895
-630000,1.895
-625000,1.887
-620000,1.912
-615000,1.912
-610000,1.914
-605000,1.904
-600000,1.892
-595000,1.875
-590000,1.865
-585000,1.865
-580000,1.851
-575000,1.846
-570000,1.875
-565000,1.902
-560000,1.914
-555000,1.943
-550000,1.934
-545000,1.934
-540000,1.919
-535000,1.934
-530000,1.921
-525000,1.904
-520000,1.882
-515000,1.855
-510000,1.87
-505000,1.895
-500000,1.895
-495000,1.924
-490000,1.941
-485000,1.97
-480000,1.98
-475000,1.982
-470000,1.982
-465000,1.995
-460000,2
-455000,1.985
-450000,1.982
-445000,2.002
-440000,1.992
-435000,2.012
-430000,2.012
-425000,2.019
-420000,2.012
-415000,2.024
-410000,2.019
-405000,1.973
-400000,1.963
-395000,1.943
-390000,1.953
-385000,1.941
-380000,1.96
-375000,1.992
-370000,2.026
-365000,2.019
-360000,2.021
-355000,2.021
-350000,2.012
-345000,2.002
-340000,1.995
-335000,2.012
-330000,2.009
-325000,2.021
-320000,2.002
-315000,2.002
-310000,2
-305000,2.029
-300000,2.002
-295000,1.992
-290000,1.982
-285000,1.953
-280000,1.953
-275000,1.968
-270000,1.973
-265000,2.002
-260000,2.026
-255000,2.043
-250000,2.041
-245000,2.029
-240000,2.053
-235000,2.058
-230000,2.048
-225000,2.07
-220000,2.07
-215000,2.08
-210000,2.078
-205000,2.061
-200000,2.07
-195000,2.031
-190000,2.012
-185000,1.941
-180000,1.943
-175000,1.992
-170000,2.021
-165000,2.031
-160000,2.034
-155000,2.048
-150000,2.058
-145000,2.058
-140000,2.07
-135000,2.08
-130000,2.08
-125000,2.1
-120000,2.1
-115000,2.095
-110000,2.117
-105000,2.117
-100000,2.1
-95000,2.117
-90000,2.09
-85000,2.097
-80000,2.119
-75000,2.134
-70000,2.09
-65000,2.09
-60000,2.117
-55000,2.109
-50000,2.134
-45000,2.148
-40000,2.158
-35000,2.148
-30000,2.158
-25000,2.205
-20000,2.236
-15000,2.236
-10000,2.236
-5000,2.205
0,2.202
5000,2.188
10000,2.207
15000,2.217
20000,2.246
25000,2.275
30000,2.28
35000,2.28
40000,2.256
45000,2.263
50000,2.266
55000,2.275
60000,2.292
65000,2.285
70000,2.295
75000,2.275
80000,2.249
85000,2.227
90000,2.205
95000,2.222
100000,2.234
105000,2.244
110000,2.236
115000,2.224
120000,2.217
125000,2.2
130000,2.197
135000,2.19
140000,2.18
145000,2.178
150000,2.178
155000,2.139
160000,2.129
165000,2.119
170000,2.1
175000,2.146
180000,2.158
185000,2.166
190000,2.178
195000,2.178
200000,2.175
205000,2.158
210000,2.148
215000,2.156
220000,2.129
225000,2.148
230000,2.148
235000,2.161
240000,2.146
245000,2.139
250000,2.097
255000,2.102
260000,2.107
265000,2.126
270000,2.139
275000,2.158
280000,2.175
285000,2.119
290000,2.146
295000,2.148
300000,2.156
305000,2.188
310000,2.175
315000,2.161
320000,2.146
325000,2.09
330000,2.087
335000,2.085
340000,2.109
345000,2.141
350000,2.275
355000,2.302
360000,2.29
365000,2.263
370000,2.263
375000,2.246
380000,2.236
385000,2.217
390000,2.207
395000,2.197
400000,2.197
405000,2.207
410000,2.207
415000,2.197
420000,2.202
425000,2.197
430000,2.175
435000,2.168
440000,2.18
445000,2.168
450000,2.168
455000,2.188
460000,2.205
465000,2.217
470000,2.197
475000,2.188
480000,2.197
485000,2.214
490000,2.207
495000,2.214
500000,2.195
505000,2.205
510000,2.217
515000,2.214
520000,2.222
525000,2.217
530000,2.236
535000,2.239
540000,2.217
545000,2.188
550000,2.188
555000,2.207
560000,2.2
565000,2.19
570000,2.188
575000,2.158
580000,2.146
585000,2.158
590000,2.168
595000,2.195
600000,2.217
605000,2.227
610000,2.256
615000,2.246
620000,2.214
625000,2.236
630000,2.246
635000,2.244
640000,2.256
645000,2.253
650000,2.236
655000,2.224
660000,2.227
665000,2.217
670000,2.214
675000,2.214
680000,2.202
685000,2.219
690000,2.217
695000,2.214
700000,2.217
705000,2.236
710000,2.236
715000,2.261
720000,2.246
725000,2.256
