#instrument=ARROW,
#ra=17.9856,
#dec=66.5853,
#alt=42.2625,
#az=328.317,
#tracking=true,
#startTime=1636062369,
#startTimeUTC=2021-11-04T21:46:09.129Z,
#user=zv496449,
#fullScan=true,
#completeTime=1636062469,
#completeTimeUTC=2021-11-04T21:47:49.243Z,
frequency, intensity
-800000,1.943
-795000,1.931
-790000,1.934
-785000,1.914
-780000,1.912
-775000,1.912
-770000,1.914
-765000,1.904
-760000,1.904
-755000,1.914
-750000,1.921
-745000,1.921
-740000,1.921
-735000,1.953
-730000,1.953
-725000,1.943
-720000,1.931
-715000,1.934
-710000,1.931
-705000,1.907
-700000,1.912
-695000,1.904
-690000,1.914
-685000,1.902
-680000,1.875
-675000,1.904
-670000,1.904
-665000,1.902
-660000,1.909
-655000,1.941
-650000,1.934
-645000,1.924
-640000,1.934
-635000,1.941
-630000,1.943
-625000,1.934
-620000,1.941
-615000,1.953
-610000,1.904
-605000,1.914
-600000,1.934
-595000,1.951
-590000,1.924
-585000,1.895
-580000,1.895
-575000,1.919
-570000,1.909
-565000,1.885
-560000,1.88
-555000,1.912
-550000,1.921
-545000,1.926
-540000,1.921
-535000,1.934
-530000,1.929
-525000,1.931
-520000,1.924
-515000,1.96
-510000,1.963
-505000,1.963
-500000,1.934
-495000,1.973
-490000,1.992
-485000,1.982
-480000,1.99
-475000,1.995
-470000,2.002
-465000,1.953
-460000,1.992
-455000,2.009
-450000,2.012
-445000,2
-440000,1.99
-435000,1.99
-430000,1.992
-425000,1.992
-420000,1.992
-415000,2.021
-410000,2.039
-405000,2.029
-400000,2.039
-395000,2.039
-390000,2.061
-385000,2.051
-380000,2.031
-375000,2.031
-370000,2.026
-365000,2.024
-360000,2.009
-355000,2.012
-350000,2.002
-345000,2.019
-340000,2.009
-335000,2.019
-330000,2.026
-325000,2.021
-320000,2.031
-315000,2.039
-310000,2.036
-305000,2.051
-300000,2.031
-295000,1.987
-290000,2.021
-285000,2.021
-280000,2.041
-275000,2.029
-270000,2.048
-265000,2.056
-260000,2.068
-255000,2.08
-250000,2.09
-245000,2.117
-240000,2.119
-235000,2.129
-230000,2.129
-225000,2.109
-220000,2.065
-215000,2.08
-210000,2.08
-205000,2.09
-200000,2.07
-195000,2.083
-190000,2.041
-185000,2.031
-180000,2.07
-175000,2.07
-170000,2.061
-165000,2.107
-160000,2.119
-155000,2.126
-150000,2.129
-145000,2.148
-140000,2.136
-135000,2.129
-130000,2.146
-125000,2.156
-120000,2.148
-115000,2.129
-110000,2.156
-105000,2.141
-100000,2.148
-95000,2.156
-90000,2.161
-85000,2.129
-80000,2.148
-75000,2.166
-70000,2.168
-65000,2.168
-60000,2.18
-55000,2.202
-50000,2.2
-45000,2.227
-40000,2.178
-35000,2.173
-30000,2.178
-25000,2.158
-20000,2.188
-15000,2.219
-10000,2.244
-5000,2.239
0,2.231
5000,2.246
10000,2.266
15000,2.273
20000,2.234
25000,2.251
30000,2.285
35000,2.314
40000,2.334
45000,2.354
50000,2.339
55000,2.334
60000,2.305
65000,2.285
70000,2.273
75000,2.263
80000,2.256
85000,2.222
90000,2.207
95000,2.227
100000,2.222
105000,2.224
110000,2.214
115000,2.207
120000,2.205
125000,2.227
130000,2.234
135000,2.236
140000,2.246
145000,2.224
150000,2.222
155000,2.217
160000,2.219
165000,2.156
170000,2.136
175000,2.126
180000,2.129
185000,2.168
190000,2.197
195000,2.19
200000,2.136
205000,2.148
210000,2.166
215000,2.168
220000,2.197
225000,2.197
230000,2.207
235000,2.195
240000,2.158
245000,2.175
250000,2.156
255000,2.166
260000,2.17
265000,2.188
270000,2.195
275000,2.207
280000,2.217
285000,2.227
290000,2.227
295000,2.227
300000,2.214
305000,2.222
310000,2.236
315000,2.224
320000,2.227
325000,2.207
330000,2.217
335000,2.214
340000,2.207
345000,2.207
350000,2.283
355000,2.324
360000,2.285
365000,2.263
370000,2.246
375000,2.227
380000,2.229
385000,2.227
390000,2.234
395000,2.234
400000,2.234
405000,2.234
410000,2.236
415000,2.244
420000,2.227
425000,2.217
430000,2.212
435000,2.244
440000,2.244
445000,2.246
450000,2.246
455000,2.234
460000,2.246
465000,2.227
470000,2.214
475000,2.234
480000,2.222
485000,2.234
490000,2.234
495000,2.224
500000,2.236
505000,2.256
510000,2.246
515000,2.234
520000,2.246
525000,2.246
530000,2.273
535000,2.261
540000,2.263
545000,2.256
550000,2.236
555000,2.236
560000,2.246
565000,2.244
