#instrument=ARROW,
#ra=12.8625,
#dec=27.1153,
#alt=58.2783,
#az=131.583,
#tracking=true,
#startTime=1571734873,
#startTimeUTC=2019-10-22T09:01:13.314Z,
#user=atc5,
#fullScan=true,
#completeTime=1571734963,
#completeTimeUTC=2019-10-22T09:02:43.331Z,
frequency, intensity
-800000,2.036
-795000,2.041
-790000,2.029
-785000,2.021
-780000,2.002
-775000,1.992
-770000,1.992
-765000,1.995
-760000,2
-755000,2.007
-750000,2.007
-745000,2.012
-740000,2
-735000,2.009
-730000,2.002
-725000,2.021
-720000,2.041
-715000,2.036
-710000,2.009
-705000,2.002
-700000,2.012
-695000,2.012
-690000,2.021
-685000,2.024
-680000,2.039
-675000,2.021
-670000,2.021
-665000,2.021
-660000,2.021
-655000,2.031
-650000,2.029
-645000,2.031
-640000,2.058
-635000,2.051
-630000,2.041
-625000,2.026
-620000,2.039
-615000,2.036
-610000,2.031
-605000,2.031
-600000,2.048
-595000,2.039
-590000,2.039
-585000,2.041
-580000,2.026
-575000,2.039
-570000,2.031
-565000,2.036
-560000,2.058
-555000,2.051
-550000,2.068
-545000,2.058
-540000,2.061
-535000,2.07
-530000,2.063
-525000,2.061
-520000,2.07
-515000,2.065
-510000,2.068
-505000,2.063
-500000,2.07
-495000,2.07
-490000,2.07
-485000,2.075
-480000,2.095
-475000,2.1
-470000,2.114
-465000,2.119
-460000,2.119
-455000,2.119
-450000,2.119
-445000,2.1
-440000,2.107
-435000,2.107
-430000,2.1
-425000,2.1
-420000,2.095
-415000,2.087
-410000,2.097
-405000,2.109
-400000,2.109
-395000,2.131
-390000,2.139
-385000,2.129
-380000,2.129
-375000,2.139
-370000,2.156
-365000,2.146
-360000,2.141
-355000,2.139
-350000,2.166
-345000,2.158
-340000,2.156
-335000,2.153
-330000,2.146
-325000,2.136
-320000,2.139
-315000,2.136
-310000,2.156
-305000,2.151
-300000,2.166
-295000,2.148
-290000,2.144
-285000,2.146
-280000,2.168
-275000,2.17
-270000,2.166
-265000,2.158
-260000,2.178
-255000,2.188
-250000,2.188
-245000,2.2
-240000,2.214
-235000,2.222
-230000,2.227
-225000,2.197
-220000,2.188
-215000,2.175
-210000,2.168
-205000,2.18
-200000,2.183
-195000,2.168
-190000,2.168
-185000,2.175
-180000,2.188
-175000,2.188
-170000,2.19
-165000,2.18
-160000,2.188
-155000,2.192
-150000,2.205
-145000,2.195
-140000,2.195
-135000,2.209
-130000,2.209
-125000,2.217
-120000,2.188
-115000,2.207
-110000,2.227
-105000,2.214
-100000,2.227
-95000,2.217
-90000,2.217
-85000,2.2
-80000,2.224
-75000,2.214
-70000,2.241
-65000,2.234
-60000,2.234
-55000,2.246
-50000,2.253
-45000,2.256
-40000,2.246
-35000,2.249
-30000,2.266
-25000,2.256
-20000,2.249
-15000,2.253
-10000,2.236
-5000,2.234
0,2.246
5000,2.246
10000,2.249
15000,2.256
20000,2.263
25000,2.256
30000,2.256
35000,2.256
40000,2.273
45000,2.268
50000,2.283
55000,2.283
60000,2.275
65000,2.275
70000,2.285
75000,2.278
80000,2.297
85000,2.292
90000,2.292
95000,2.292
100000,2.29
105000,2.275
110000,2.295
115000,2.305
120000,2.314
125000,2.302
130000,2.29
135000,2.285
140000,2.295
145000,2.285
150000,2.275
155000,2.292
160000,2.285
165000,2.305
170000,2.314
175000,2.312
180000,2.295
185000,2.314
190000,2.314
195000,2.312
200000,2.314
205000,2.314
210000,2.305
215000,2.295
220000,2.305
225000,2.312
230000,2.314
235000,2.283
240000,2.28
245000,2.295
250000,2.305
255000,2.305
260000,2.329
265000,2.339
270000,2.332
275000,2.334
280000,2.351
285000,2.349
290000,2.344
295000,2.339
300000,2.322
305000,2.312
310000,2.314
315000,2.332
320000,2.324
325000,2.312
330000,2.305
335000,2.319
340000,2.312
345000,2.341
350000,2.383
355000,2.449
360000,2.41
365000,2.39
370000,2.4
375000,2.39
380000,2.371
385000,2.351
390000,2.324
395000,2.341
400000,2.322
405000,2.344
410000,2.334
415000,2.332
420000,2.334
425000,2.334
430000,2.322
435000,2.344
440000,2.341
445000,2.344
450000,2.334
455000,2.336
460000,2.354
465000,2.324
470000,2.324
475000,2.324
480000,2.314
485000,2.322
490000,2.319
495000,2.324
500000,2.324
505000,2.334
510000,2.344
515000,2.354
520000,2.363
525000,2.354
530000,2.371
535000,2.371
540000,2.368
545000,2.354
550000,2.351
555000,2.344
560000,2.344
565000,2.354
570000,2.341
575000,2.334
580000,2.371
585000,2.363
590000,2.363
595000,2.375
600000,2.363
605000,2.38
610000,2.402
615000,2.363
620000,2.38
625000,2.375
630000,2.373
635000,2.39
640000,2.41
645000,2.4
650000,2.383
655000,2.383
660000,2.375
665000,2.363
670000,2.363
675000,2.373
680000,2.38
685000,2.393
690000,2.383
695000,2.41
700000,2.41
705000,2.393
710000,2.402
715000,2.383
720000,2.373
725000,2.397
730000,2.395
735000,2.4
740000,2.412
745000,2.393
750000,2.393
755000,2.393
760000,2.39
765000,2.422
770000,2.439
775000,2.422
780000,2.41
785000,2.429
790000,2.412
795000,2.412
800000,2.422
805000,2.4
810000,2.412
815000,2.4
820000,2.402
825000,2.422
830000,2.412
835000,2.437
840000,2.419
845000,2.412
850000,2.422
855000,2.427
860000,2.432
865000,2.456
870000,2.441
875000,2.468
880000,2.48
885000,2.49
890000,2.498
895000,2.48
900000,2.549
905000,2.576
910000,2.588
915000,2.563
920000,2.559
925000,2.539
930000,2.537
935000,2.527
940000,2.52
945000,2.52
950000,2.529
955000,2.52
960000,2.517
965000,2.527
970000,2.546
975000,2.52
980000,2.51
985000,2.5
990000,2.5
995000,2.5
1000000,2.502
1005000,2.502
1010000,2.498
1015000,2.505
1020000,2.5
1025000,2.51
1030000,2.517
1035000,2.52
1040000,2.515
1045000,2.507
1050000,2.49
1055000,2.49
1060000,2.478
1065000,2.488
1070000,2.48
1075000,2.468
1080000,2.498
1085000,2.498
1090000,2.5
1095000,2.51
1100000,2.51
1105000,2.507
1110000,2.52
1115000,2.52
1120000,2.517
1125000,2.517
1130000,2.51
1135000,2.507
1140000,2.51
1145000,2.529
1150000,2.534
1155000,2.529
1160000,2.517
1165000,2.529
1170000,2.529
1175000,2.52
1180000,2.529
1185000,2.5
1190000,2.51
1195000,2.51
1200000,2.51
