#instrument=ARROW,
#ra=12.8553,
#dec=27.2197,
#alt=37.7725,
#az=267,
#tracking=true,
#startTime=1571756102,
#startTimeUTC=2019-10-22T14:55:02.950Z,
#user=atc5,
#fullScan=true,
#completeTime=1571756192,
#completeTimeUTC=2019-10-22T14:56:32.955Z,
frequency, intensity
-800000,1.992
-795000,1.968
-790000,1.953
-785000,1.941
-780000,1.936
-775000,1.921
-770000,1.917
-765000,1.931
-760000,1.914
-755000,1.924
-750000,1.914
-745000,1.914
-740000,1.924
-735000,1.917
-730000,1.912
-725000,1.914
-720000,1.921
-715000,1.941
-710000,1.943
-705000,1.943
-700000,1.953
-695000,1.938
-690000,1.943
-685000,1.953
-680000,1.973
-675000,1.953
-670000,1.953
-665000,1.943
-660000,1.96
-655000,1.934
-650000,1.941
-645000,1.953
-640000,1.96
-635000,1.956
-630000,1.963
-625000,1.973
-620000,1.973
-615000,1.992
-610000,1.978
-605000,1.973
-600000,1.982
-595000,1.992
-590000,2.004
-585000,2.002
-580000,2.012
-575000,2.019
-570000,2.012
-565000,2.002
-560000,2.004
-555000,2.012
-550000,2.012
-545000,2.009
-540000,2.012
-535000,1.997
-530000,2.017
-525000,2.041
-520000,2.012
-515000,2.031
-510000,2.048
-505000,2.043
-500000,2.051
-495000,2.039
-490000,2.014
-485000,2.029
-480000,2.041
-475000,2.056
-470000,2.051
-465000,2.051
-460000,2.058
-455000,2.073
-450000,2.09
-445000,2.08
-440000,2.068
-435000,2.07
-430000,2.08
-425000,2.087
-420000,2.061
-415000,2.061
-410000,2.07
-405000,2.08
-400000,2.068
-395000,2.061
-390000,2.051
-385000,2.07
-380000,2.087
-375000,2.078
-370000,2.1
-365000,2.112
-360000,2.117
-355000,2.109
-350000,2.109
-345000,2.097
-340000,2.1
-335000,2.08
-330000,2.085
-325000,2.078
-320000,2.07
-315000,2.078
-310000,2.09
-305000,2.097
-300000,2.107
-295000,2.129
-290000,2.139
-285000,2.141
-280000,2.136
-275000,2.148
-270000,2.139
-265000,2.146
-260000,2.139
-255000,2.144
-250000,2.156
-245000,2.158
-240000,2.146
-235000,2.148
-230000,2.151
-225000,2.148
-220000,2.153
-215000,2.158
-210000,2.148
-205000,2.158
-200000,2.168
-195000,2.188
-190000,2.168
-185000,2.18
-180000,2.188
-175000,2.197
-170000,2.197
-165000,2.217
-160000,2.207
-155000,2.188
-150000,2.175
-145000,2.178
-140000,2.158
-135000,2.188
-130000,2.178
-125000,2.161
-120000,2.161
-115000,2.166
-110000,2.148
-105000,2.161
-100000,2.168
-95000,2.18
-90000,2.185
-85000,2.195
-80000,2.185
-75000,2.207
-70000,2.197
-65000,2.197
-60000,2.217
-55000,2.217
-50000,2.217
-45000,2.224
-40000,2.231
-35000,2.212
-30000,2.224
-25000,2.229
-20000,2.209
-15000,2.224
-10000,2.231
-5000,2.236
0,2.241
5000,2.236
10000,2.227
15000,2.241
20000,2.246
25000,2.244
30000,2.239
35000,2.244
40000,2.256
45000,2.266
50000,2.261
55000,2.275
60000,2.283
65000,2.278
70000,2.275
75000,2.275
80000,2.261
85000,2.273
90000,2.266
95000,2.273
100000,2.285
105000,2.285
110000,2.297
115000,2.302
120000,2.285
125000,2.278
130000,2.3
135000,2.295
140000,2.285
145000,2.307
150000,2.305
155000,2.275
160000,2.29
165000,2.285
170000,2.283
175000,2.275
180000,2.275
185000,2.283
190000,2.275
195000,2.295
200000,2.314
205000,2.292
210000,2.305
215000,2.297
220000,2.305
225000,2.314
230000,2.324
235000,2.327
240000,2.314
245000,2.314
250000,2.324
255000,2.305
260000,2.305
265000,2.292
270000,2.297
275000,2.297
280000,2.314
285000,2.312
290000,2.305
295000,2.314
300000,2.314
305000,2.324
310000,2.344
315000,2.344
320000,2.363
325000,2.363
330000,2.378
335000,2.368
340000,2.334
345000,2.354
350000,2.397
355000,2.432
360000,2.393
365000,2.373
370000,2.363
375000,2.363
380000,2.351
385000,2.332
390000,2.314
395000,2.334
400000,2.363
405000,2.373
410000,2.373
415000,2.363
420000,2.341
425000,2.305
430000,2.312
435000,2.327
440000,2.332
445000,2.322
450000,2.324
455000,2.322
460000,2.324
465000,2.341
470000,2.349
475000,2.354
480000,2.341
485000,2.329
490000,2.334
495000,2.317
500000,2.332
505000,2.334
510000,2.322
515000,2.332
520000,2.361
525000,2.371
530000,2.344
535000,2.351
540000,2.363
545000,2.354
550000,2.371
555000,2.351
560000,2.354
565000,2.354
570000,2.344
575000,2.344
580000,2.354
585000,2.354
590000,2.361
595000,2.375
600000,2.363
605000,2.383
610000,2.38
615000,2.39
620000,2.407
625000,2.4
630000,2.402
635000,2.419
640000,2.4
645000,2.378
650000,2.393
655000,2.383
660000,2.393
665000,2.393
670000,2.402
675000,2.41
680000,2.393
685000,2.393
690000,2.402
695000,2.393
700000,2.395
705000,2.412
710000,2.402
715000,2.41
720000,2.405
725000,2.407
730000,2.39
735000,2.412
740000,2.422
745000,2.422
750000,2.412
755000,2.417
760000,2.441
765000,2.432
770000,2.432
775000,2.437
