#instrument=ARROW,
#ra=19.0667,
#dec=6.35139,
#alt=24.6786,
#az=247,
#tracking=true,
#startTime=1636055553,
#startTimeUTC=2021-11-04T19:52:33.484Z,
#user=cs9527,
#fullScan=true,
#completeTime=1636055653,
#completeTimeUTC=2021-11-04T19:54:13.715Z,
frequency, intensity
-800000,2.012
-795000,1.982
-790000,1.992
-785000,1.992
-780000,2.012
-775000,2.012
-770000,2.065
-765000,2.109
-760000,2.061
-755000,2.041
-750000,2.021
-745000,1.997
-740000,1.992
-735000,1.982
-730000,1.99
-725000,1.99
-720000,1.992
-715000,1.995
-710000,2.009
-705000,2.012
-700000,2.029
-695000,2.021
-690000,2.031
-685000,2.029
-680000,2.012
-675000,1.992
-670000,1.997
-665000,1.992
-660000,2
-655000,2.012
-650000,2.021
-645000,2.021
-640000,2.024
-635000,2.021
-630000,2.021
-625000,2.026
-620000,2.031
-615000,2.031
-610000,2.012
-605000,2.024
-600000,2.017
-595000,2.021
-590000,2.031
-585000,2.017
-580000,2.021
-575000,2.026
-570000,2.021
-565000,2.014
-560000,2.021
-555000,2.031
-550000,2.048
-545000,2.056
-540000,2.061
-535000,2.058
-530000,2.068
-525000,2.085
-520000,2.08
-515000,2.139
-510000,2.17
-505000,2.175
-500000,2.144
-495000,2.117
-490000,2.107
-485000,2.09
-480000,2.1
-475000,2.087
-470000,2.07
-465000,2.068
-460000,2.078
-455000,2.08
-450000,2.1
-445000,2.104
-440000,2.117
-435000,2.078
-430000,2.078
-425000,2.07
-420000,2.087
-415000,2.09
-410000,2.07
-405000,2.092
-400000,2.109
-395000,2.124
-390000,2.153
-385000,2.175
-380000,2.175
-375000,2.158
-370000,2.148
-365000,2.158
-360000,2.156
-355000,2.148
-350000,2.146
-345000,2.114
-340000,2.129
-335000,2.129
-330000,2.122
-325000,2.139
-320000,2.173
-315000,2.146
-310000,2.161
-305000,2.18
-300000,2.188
-295000,2.214
-290000,2.197
-285000,2.207
-280000,2.236
-275000,2.219
-270000,2.195
-265000,2.205
-260000,2.207
-255000,2.205
-250000,2.185
-245000,2.209
-240000,2.217
-235000,2.197
-230000,2.222
-225000,2.197
-220000,2.188
-215000,2.197
-210000,2.183
-205000,2.178
-200000,2.178
-195000,2.175
-190000,2.168
-185000,2.168
-180000,2.188
-175000,2.195
-170000,2.195
-165000,2.205
-160000,2.227
-155000,2.236
-150000,2.246
-145000,2.278
-140000,2.278
-135000,2.297
-130000,2.312
-125000,2.324
-120000,2.371
-115000,2.41
-110000,2.383
-105000,2.363
-100000,2.363
-95000,2.361
-90000,2.38
-85000,2.38
-80000,2.383
-75000,2.405
-70000,2.429
-65000,2.461
-60000,2.461
-55000,2.451
-50000,2.441
-45000,2.4
-40000,2.41
-35000,2.354
-30000,2.344
-25000,2.322
-20000,2.305
-15000,2.314
-10000,2.312
-5000,2.324
0,2.314
5000,2.295
10000,2.334
15000,2.292
20000,2.273
25000,2.256
30000,2.275
35000,2.285
40000,2.283
45000,2.256
50000,2.268
55000,2.283
60000,2.285
65000,2.273
70000,2.28
75000,2.341
80000,2.363
85000,2.344
90000,2.305
95000,2.275
100000,2.266
105000,2.292
110000,2.285
115000,2.28
120000,2.273
125000,2.266
130000,2.275
135000,2.297
140000,2.278
145000,2.283
150000,2.295
155000,2.319
160000,2.305
165000,2.285
170000,2.283
175000,2.283
180000,2.275
185000,2.273
190000,2.266
195000,2.268
200000,2.246
205000,2.253
210000,2.256
215000,2.283
220000,2.285
225000,2.305
230000,2.314
235000,2.324
240000,2.314
245000,2.302
250000,2.295
255000,2.285
260000,2.285
265000,2.273
270000,2.256
275000,2.273
280000,2.292
285000,2.295
290000,2.283
295000,2.273
300000,2.273
305000,2.288
310000,2.283
315000,2.302
320000,2.324
325000,2.305
330000,2.314
335000,2.312
340000,2.302
345000,2.278
350000,2.373
355000,2.412
360000,2.393
365000,2.344
370000,2.317
375000,2.332
380000,2.314
385000,2.334
390000,2.344
395000,2.363
400000,2.314
405000,2.305
410000,2.285
415000,2.295
420000,2.285
425000,2.305
430000,2.324
435000,2.307
440000,2.305
445000,2.312
450000,2.314
455000,2.341
460000,2.344
465000,2.373
470000,2.393
475000,2.361
480000,2.351
485000,2.363
490000,2.324
495000,2.332
500000,2.332
505000,2.319
510000,2.297
515000,2.319
520000,2.305
525000,2.295
530000,2.317
535000,2.314
540000,2.324
545000,2.344
550000,2.378
555000,2.393
560000,2.412
565000,2.393
570000,2.363
575000,2.344
580000,2.324
585000,2.302
590000,2.295
595000,2.292
600000,2.302
605000,2.295
610000,2.327
615000,2.344
620000,2.334
625000,2.317
630000,2.302
635000,2.341
640000,2.358
645000,2.363
650000,2.373
655000,2.356
660000,2.354
665000,2.344
670000,2.344
675000,2.344
680000,2.371
685000,2.38
690000,2.4
695000,2.39
700000,2.395
705000,2.402
710000,2.41
715000,2.383
720000,2.363
725000,2.363
730000,2.373
735000,2.349
740000,2.344
745000,2.363
750000,2.39
755000,2.363
760000,2.351
765000,2.363
770000,2.371
775000,2.375
780000,2.373
785000,2.383
790000,2.38
795000,2.39
800000,2.393
805000,2.383
810000,2.383
815000,2.39
820000,2.397
825000,2.373
830000,2.361
835000,2.363
840000,2.363
845000,2.363
850000,2.38
855000,2.368
860000,2.354
865000,2.393
870000,2.39
875000,2.393
880000,2.412
885000,2.402
890000,2.41
895000,2.393
900000,2.375
905000,2.383
910000,2.383
915000,2.393
920000,2.41
925000,2.373
930000,2.383
935000,2.383
940000,2.371
945000,2.375
950000,2.393
955000,2.412
960000,2.419
965000,2.454
970000,2.468
975000,2.485
980000,2.471
985000,2.48
990000,2.517
995000,2.471
1000000,2.473
1005000,2.458
1010000,2.468
1015000,2.461
1020000,2.51
1025000,2.527
1030000,2.539
1035000,2.507
1040000,2.5
1045000,2.48
1050000,2.485
1055000,2.48
1060000,2.466
1065000,2.441
1070000,2.441
1075000,2.451
1080000,2.451
1085000,2.478
1090000,2.495
1095000,2.52
1100000,2.483
1105000,2.473
1110000,2.468
1115000,2.449
1120000,2.444
1125000,2.444
1130000,2.463
1135000,2.451
1140000,2.432
1145000,2.48
1150000,2.5
1155000,2.539
1160000,2.578
1165000,2.539
1170000,2.556
1175000,2.598
1180000,2.588
1185000,2.561
1190000,2.529
1195000,2.529
1200000,2.529
