#instrument=ARROW,
#ra=20.1247,
#dec=32.3517,
#alt=51.0478,
#az=258.383,
#tracking=true,
#startTime=1636056836,
#startTimeUTC=2021-11-04T20:13:56.946Z,
#user=cs9527,
#fullScan=true,
#completeTime=1636056937,
#completeTimeUTC=2021-11-04T20:15:37.182Z,
frequency, intensity
-800000,1.973
-795000,1.953
-790000,1.931
-785000,1.907
-780000,1.885
-775000,1.89
-770000,1.885
-765000,1.904
-760000,1.914
-755000,1.924
-750000,1.914
-745000,1.924
-740000,1.931
-735000,1.934
-730000,1.924
-725000,1.914
-720000,1.912
-715000,1.914
-710000,1.934
-705000,1.948
-700000,1.943
-695000,1.934
-690000,1.929
-685000,1.953
-680000,1.943
-675000,1.953
-670000,1.934
-665000,1.948
-660000,1.943
-655000,1.951
-650000,1.943
-645000,1.953
-640000,1.982
-635000,1.982
-630000,1.99
-625000,1.98
-620000,1.951
-615000,1.97
-610000,1.973
-605000,1.985
-600000,1.973
-595000,1.96
-590000,1.973
-585000,1.98
-580000,1.982
-575000,1.992
-570000,1.982
-565000,2
-560000,1.98
-555000,1.97
-550000,1.97
-545000,1.968
-540000,1.98
-535000,1.975
-530000,1.978
-525000,1.973
-520000,1.98
-515000,1.992
-510000,2
-505000,1.992
-500000,1.982
-495000,2
-490000,2.009
-485000,2.019
-480000,2.012
-475000,2.021
-470000,2.009
-465000,2.021
-460000,2.021
-455000,2.021
-450000,2.019
-445000,2.012
-440000,2.012
-435000,2.021
-430000,2.029
-425000,2.019
-420000,2.039
-415000,2.046
-410000,2.014
-405000,2.031
-400000,2.053
-395000,2.078
-390000,2.051
-385000,2.031
-380000,2.046
-375000,2.041
-370000,2.034
-365000,2.046
-360000,2.058
-355000,2.078
-350000,2.063
-345000,2.056
-340000,2.07
-335000,2.061
-330000,2.09
-325000,2.08
-320000,2.061
-315000,2.051
-310000,2.061
-305000,2.07
-300000,2.07
-295000,2.068
-290000,2.08
-285000,2.097
-280000,2.107
-275000,2.109
-270000,2.158
-265000,2.148
-260000,2.136
-255000,2.197
-250000,2.197
-245000,2.195
-240000,2.188
-235000,2.156
-230000,2.148
-225000,2.129
-220000,2.119
-215000,2.109
-210000,2.109
-205000,2.126
-200000,2.129
-195000,2.109
-190000,2.107
-185000,2.124
-180000,2.144
-175000,2.129
-170000,2.148
-165000,2.161
-160000,2.18
-155000,2.209
-150000,2.227
-145000,2.234
-140000,2.207
-135000,2.195
-130000,2.205
-125000,2.197
-120000,2.2
-115000,2.217
-110000,2.263
-105000,2.275
-100000,2.275
-95000,2.283
-90000,2.285
-85000,2.322
-80000,2.334
-75000,2.354
-70000,2.38
-65000,2.393
-60000,2.441
-55000,2.456
-50000,2.468
-45000,2.451
-40000,2.441
-35000,2.439
-30000,2.419
-25000,2.402
-20000,2.368
-15000,2.344
-10000,2.314
-5000,2.339
0,2.312
5000,2.314
10000,2.302
15000,2.285
20000,2.266
25000,2.227
30000,2.261
35000,2.256
40000,2.266
45000,2.253
50000,2.273
55000,2.275
60000,2.292
65000,2.275
70000,2.275
75000,2.273
80000,2.275
85000,2.275
90000,2.29
95000,2.266
100000,2.253
105000,2.256
110000,2.266
115000,2.253
120000,2.236
125000,2.253
130000,2.256
135000,2.246
140000,2.263
145000,2.285
150000,2.28
155000,2.261
160000,2.266
165000,2.244
170000,2.236
175000,2.236
180000,2.234
185000,2.236
190000,2.227
195000,2.229
200000,2.236
205000,2.246
210000,2.312
215000,2.319
220000,2.3
225000,2.278
230000,2.256
235000,2.266
240000,2.266
245000,2.256
250000,2.253
255000,2.253
260000,2.236
265000,2.251
270000,2.236
275000,2.244
280000,2.256
285000,2.236
290000,2.227
295000,2.214
300000,2.227
305000,2.244
310000,2.227
315000,2.227
320000,2.229
325000,2.227
330000,2.236
335000,2.246
340000,2.256
345000,2.256
350000,2.285
355000,2.332
360000,2.285
365000,2.266
370000,2.231
375000,2.253
380000,2.246
385000,2.246
390000,2.244
395000,2.253
400000,2.246
405000,2.241
410000,2.227
415000,2.219
420000,2.192
425000,2.168
430000,2.163
435000,2.166
440000,2.185
445000,2.197
450000,2.214
455000,2.236
460000,2.234
465000,2.246
470000,2.244
475000,2.266
480000,2.251
485000,2.246
490000,2.263
495000,2.261
500000,2.246
505000,2.244
510000,2.241
515000,2.253
520000,2.217
525000,2.207
530000,2.195
535000,2.197
540000,2.188
545000,2.188
550000,2.192
555000,2.175
560000,2.207
565000,2.224
570000,2.227
575000,2.305
580000,2.283
585000,2.275
590000,2.266
595000,2.256
600000,2.271
605000,2.29
610000,2.292
615000,2.288
620000,2.285
625000,2.285
630000,2.3
635000,2.314
640000,2.305
645000,2.3
650000,2.312
655000,2.324
660000,2.351
665000,2.305
670000,2.322
675000,2.305
680000,2.314
685000,2.295
690000,2.285
695000,2.307
700000,2.332
705000,2.314
710000,2.3
715000,2.275
720000,2.263
725000,2.283
730000,2.273
735000,2.261
740000,2.29
745000,2.305
750000,2.322
755000,2.295
760000,2.285
765000,2.275
770000,2.273
775000,2.253
780000,2.253
785000,2.244
790000,2.231
795000,2.246
800000,2.285
805000,2.292
810000,2.312
815000,2.31
820000,2.341
825000,2.339
830000,2.334
835000,2.327
840000,2.295
845000,2.295
850000,2.324
855000,2.332
860000,2.305
865000,2.285
870000,2.285
875000,2.295
880000,2.314
885000,2.332
890000,2.341
895000,2.354
900000,2.295
905000,2.266
910000,2.227
915000,2.227
920000,2.231
925000,2.273
930000,2.295
935000,2.305
940000,2.354
945000,2.344
950000,2.336
955000,2.344
960000,2.344
965000,2.346
970000,2.354
975000,2.329
980000,2.341
985000,2.363
990000,2.383
995000,2.383
1000000,2.393
1005000,2.393
1010000,2.383
1015000,2.373
1020000,2.4
1025000,2.375
1030000,2.383
1035000,2.385
1040000,2.393
1045000,2.402
1050000,2.397
1055000,2.393
1060000,2.405
1065000,2.405
1070000,2.402
1075000,2.407
1080000,2.417
1085000,2.429
1090000,2.412
1095000,2.427
1100000,2.412
1105000,2.41
1110000,2.422
1115000,2.41
1120000,2.417
1125000,2.444
1130000,2.422
1135000,2.412
1140000,2.412
1145000,2.393
1150000,2.422
1155000,2.429
1160000,2.432
1165000,2.434
1170000,2.451
1175000,2.412
1180000,2.432
1185000,2.441
1190000,2.422
1195000,2.432
1200000,2.439
