#instrument=ARROW,
#ra=20.5897,
#dec=40.5706,
#alt=59.2897,
#az=265.017,
#tracking=true,
#startTime=1636057369,
#startTimeUTC=2021-11-04T20:22:49.896Z,
#user=cs9527,
#fullScan=true,
#completeTime=1636057470,
#completeTimeUTC=2021-11-04T20:24:30.093Z,
frequency, intensity
-800000,2.124
-795000,2.109
-790000,2.051
-785000,2.129
-780000,2.188
-775000,2.117
-770000,2.08
-765000,2.07
-760000,2.051
-755000,2.031
-750000,2.031
-745000,2.031
-740000,2.039
-735000,2.029
-730000,2.012
-725000,2.024
-720000,2.168
-715000,2.134
-710000,2.092
-705000,2.061
-700000,2.053
-695000,2.051
-690000,2.058
-685000,2.058
-680000,2.109
-675000,2.222
-670000,2.412
-665000,2.363
-660000,2.266
-655000,2.188
-650000,2.153
-645000,2.129
-640000,2.109
-635000,2.1
-630000,2.1
-625000,2.107
-620000,2.124
-615000,2.139
-610000,2.119
-605000,2.151
-600000,2.305
-595000,2.263
-590000,2.236
-585000,2.202
-580000,2.168
-575000,2.144
-570000,2.119
-565000,2.188
-560000,2.148
-555000,2.129
-550000,2.139
-545000,2.129
-540000,2.136
-535000,2.148
-530000,2.1
-525000,2.092
-520000,2.08
-515000,2.051
-510000,2.051
-505000,2.029
-500000,2.041
-495000,2.07
-490000,2.07
-485000,2.068
-480000,2.227
-475000,2.351
-470000,2.354
-465000,2.334
-460000,2.344
-455000,2.368
-450000,2.322
-445000,2.275
-440000,2.224
-435000,2.168
-430000,2.151
-425000,2.117
-420000,2.107
-415000,2.09
-410000,2.117
-405000,2.139
-400000,2.185
-395000,2.175
-390000,2.192
-385000,2.197
-380000,2.227
-375000,2.241
-370000,2.207
-365000,2.207
-360000,2.214
-355000,2.336
-350000,2.324
-345000,2.461
-340000,2.527
-335000,2.559
-330000,2.441
-325000,2.363
-320000,2.332
-315000,2.307
-310000,2.266
-305000,2.263
-300000,2.253
-295000,2.292
-290000,2.273
-285000,2.246
-280000,2.227
-275000,2.246
-270000,2.256
-265000,2.253
-260000,2.246
-255000,2.256
-250000,2.253
-245000,2.427
-240000,2.422
-235000,2.48
-230000,2.566
-225000,2.588
-220000,2.529
-215000,2.498
-210000,2.532
-205000,2.52
-200000,2.468
-195000,2.373
-190000,2.361
-185000,2.322
-180000,2.314
-175000,2.302
-170000,2.292
-165000,2.285
-160000,2.29
-155000,2.363
-150000,2.507
-145000,2.488
-140000,2.568
-135000,2.507
-130000,2.468
-125000,2.439
-120000,2.441
-115000,2.576
-110000,2.554
-105000,2.49
-100000,2.498
-95000,2.456
-90000,2.412
-85000,2.441
-80000,2.432
-75000,2.4
-70000,2.432
-65000,2.424
-60000,2.449
-55000,2.471
-50000,2.5
-45000,2.546
-40000,2.573
-35000,2.715
-30000,2.712
-25000,2.693
-20000,2.683
-15000,2.676
-10000,2.666
-5000,2.622
0,2.578
5000,2.556
10000,2.651
15000,2.637
20000,2.637
25000,2.585
30000,2.512
35000,2.49
40000,2.495
45000,2.498
50000,2.488
55000,2.454
60000,2.461
65000,2.466
70000,2.48
75000,2.488
80000,2.493
85000,2.451
90000,2.383
95000,2.363
100000,2.354
105000,2.393
110000,2.38
115000,2.388
120000,2.354
125000,2.336
130000,2.361
135000,2.383
140000,2.361
145000,2.344
150000,2.312
155000,2.292
160000,2.285
165000,2.278
170000,2.278
175000,2.29
180000,2.28
185000,2.275
190000,2.285
195000,2.295
200000,2.275
205000,2.273
210000,2.261
215000,2.271
220000,2.307
225000,2.305
230000,2.361
235000,2.373
240000,2.388
245000,2.522
250000,2.542
255000,2.471
260000,2.415
265000,2.38
270000,2.356
275000,2.354
280000,2.339
285000,2.332
290000,2.344
295000,2.422
300000,2.383
305000,2.368
310000,2.358
315000,2.346
320000,2.361
325000,2.373
330000,2.402
335000,2.422
340000,2.444
345000,2.471
350000,2.568
355000,2.644
360000,2.568
365000,2.5
370000,2.468
375000,2.522
380000,2.539
385000,2.478
390000,2.437
395000,2.4
400000,2.4
405000,2.546
410000,2.593
415000,2.578
420000,2.529
425000,2.478
430000,2.422
435000,2.412
440000,2.471
445000,2.49
450000,2.432
455000,2.446
460000,2.471
465000,2.471
470000,2.48
475000,2.449
480000,2.441
485000,2.412
490000,2.534
495000,2.649
500000,2.561
505000,2.51
510000,2.461
515000,2.566
520000,2.715
525000,2.637
530000,2.581
535000,2.527
540000,2.498
545000,2.478
550000,2.441
555000,2.449
560000,2.449
565000,2.461
570000,2.48
575000,2.605
580000,2.593
585000,2.578
590000,2.559
595000,2.595
600000,2.559
605000,2.532
610000,2.498
615000,2.605
620000,2.676
625000,2.627
630000,2.637
635000,2.664
640000,2.664
645000,2.646
650000,2.646
655000,2.595
660000,2.588
665000,2.588
670000,2.654
675000,2.664
680000,2.756
685000,2.788
690000,2.773
695000,2.761
700000,2.771
705000,2.803
710000,2.859
715000,2.813
720000,2.844
725000,2.776
730000,2.742
735000,2.761
740000,2.852
745000,2.81
750000,2.8
755000,2.927
760000,2.944
765000,3.013
770000,2.979
775000,2.813
780000,2.729
785000,2.617
790000,2.566
795000,2.534
800000,2.49
805000,2.483
810000,2.441
815000,2.449
820000,2.429
825000,2.412
830000,2.383
835000,2.375
840000,2.393
845000,2.38
850000,2.38
855000,2.373
860000,2.4
865000,2.39
870000,2.371
875000,2.373
880000,2.373
885000,2.383
890000,2.393
895000,2.383
900000,2.429
905000,2.432
910000,2.422
915000,2.407
920000,2.419
925000,2.466
930000,2.539
935000,2.544
940000,2.529
945000,2.627
950000,2.754
955000,2.688
960000,2.666
965000,2.664
970000,2.637
975000,2.605
980000,2.598
985000,2.59
990000,2.581
995000,2.568
1000000,2.585
1005000,2.568
1010000,2.551
1015000,2.539
1020000,2.507
1025000,2.483
1030000,2.48
1035000,2.456
1040000,2.432
1045000,2.439
1050000,2.441
1055000,2.429
1060000,2.424
1065000,2.41
1070000,2.417
1075000,2.446
1080000,2.441
1085000,2.461
1090000,2.471
1095000,2.48
1100000,2.476
1105000,2.48
