#instrument=ARROW,
#ra=21.2125,
#dec=47.6453,
#alt=64.5681,
#az=275.883,
#tracking=true,
#startTime=1636058959,
#startTimeUTC=2021-11-04T20:49:19.209Z,
#user=fm5634,
#fullScan=true,
#completeTime=1636059059,
#completeTimeUTC=2021-11-04T20:50:59.656Z,
frequency, intensity
-800000,2.266
-795000,2.188
-790000,2.129
-785000,2.075
-780000,2.041
-775000,2.031
-770000,2.012
-765000,1.995
-760000,2.019
-755000,2.009
-750000,2.002
-745000,1.99
-740000,1.975
-735000,1.975
-730000,1.982
-725000,2
-720000,1.992
-715000,2
-710000,2.002
-705000,1.99
-700000,1.98
-695000,1.995
-690000,1.982
-685000,1.968
-680000,1.973
-675000,1.963
-670000,1.96
-665000,1.963
-660000,1.992
-655000,2.002
-650000,1.98
-645000,2
-640000,2.021
-635000,2.039
-630000,2.061
-625000,2.08
-620000,2.056
-615000,2.07
-610000,2.061
-605000,2.078
-600000,2.136
-595000,2.148
-590000,2.124
-585000,2.109
-580000,2.158
-575000,2.231
-570000,2.292
-565000,2.244
-560000,2.246
-555000,2.219
-550000,2.207
-545000,2.209
-540000,2.207
-535000,2.185
-530000,2.195
-525000,2.234
-520000,2.253
-515000,2.217
-510000,2.234
-505000,2.266
-500000,2.217
-495000,2.202
-490000,2.207
-485000,2.263
-480000,2.373
-475000,2.373
-470000,2.351
-465000,2.393
-460000,2.292
-455000,2.258
-450000,2.422
-445000,2.49
-440000,2.385
-435000,2.305
-430000,2.246
-425000,2.205
-420000,2.175
-415000,2.158
-410000,2.156
-405000,2.139
-400000,2.148
-395000,2.129
-390000,2.109
-385000,2.119
-380000,2.117
-375000,2.129
-370000,2.129
-365000,2.146
-360000,2.139
-355000,2.148
-350000,2.156
-345000,2.163
-340000,2.168
-335000,2.241
-330000,2.285
-325000,2.488
-320000,2.41
-315000,2.373
-310000,2.439
-305000,2.51
-300000,2.666
-295000,2.725
-290000,2.578
-285000,2.461
-280000,2.373
-275000,2.327
-270000,2.324
-265000,2.324
-260000,2.312
-255000,2.344
-250000,2.351
-245000,2.344
-240000,2.336
-235000,2.324
-230000,2.38
-225000,2.39
-220000,2.393
-215000,2.356
-210000,2.363
-205000,2.432
-200000,2.424
-195000,2.554
-190000,2.603
-185000,2.51
-180000,2.49
-175000,2.468
-170000,2.466
-165000,2.446
-160000,2.432
-155000,2.412
-150000,2.402
-145000,2.393
-140000,2.363
-135000,2.354
-130000,2.441
-125000,2.432
-120000,2.456
-115000,2.451
-110000,2.439
-105000,2.429
-100000,2.434
-95000,2.522
-90000,2.578
-85000,2.683
-80000,2.754
-75000,2.742
-70000,2.705
-65000,2.683
-60000,2.705
-55000,2.695
-50000,2.703
-45000,2.705
-40000,2.695
-35000,2.715
-30000,2.754
-25000,2.791
-20000,2.842
-15000,2.878
-10000,2.881
-5000,2.871
0,2.871
5000,2.883
10000,2.888
15000,2.832
20000,2.91
25000,2.817
30000,2.798
35000,2.754
40000,2.849
45000,2.793
50000,2.7
55000,2.72
60000,2.686
65000,2.637
70000,2.634
75000,2.578
80000,2.578
85000,2.632
90000,2.607
95000,2.598
100000,2.559
105000,2.578
110000,2.529
115000,2.524
120000,2.52
125000,2.527
130000,2.5
135000,2.51
140000,2.483
145000,2.476
150000,2.48
155000,2.573
160000,2.617
165000,2.642
170000,2.605
175000,2.634
180000,2.627
185000,2.598
190000,2.595
195000,2.549
200000,2.546
205000,2.52
210000,2.49
215000,2.615
220000,2.83
225000,3.037
230000,3.123
235000,3.018
240000,2.983
245000,2.891
250000,2.791
255000,2.732
260000,2.688
265000,2.695
270000,2.705
275000,2.808
280000,2.82
285000,2.91
290000,2.927
295000,2.798
300000,2.722
305000,2.693
310000,2.666
315000,2.632
320000,2.568
325000,2.52
330000,2.51
335000,2.51
340000,2.588
345000,2.637
350000,2.681
355000,2.654
360000,2.61
365000,2.578
370000,2.537
375000,2.539
380000,2.517
385000,2.559
390000,2.51
395000,2.505
400000,2.507
405000,2.588
410000,2.549
415000,2.537
420000,2.5
425000,2.498
430000,2.473
435000,2.483
440000,2.468
445000,2.49
450000,2.471
455000,2.451
460000,2.439
465000,2.432
470000,2.429
475000,2.415
480000,2.412
485000,2.422
490000,2.439
495000,2.468
500000,2.48
505000,2.49
510000,2.498
515000,2.51
520000,2.529
525000,2.695
530000,2.732
535000,2.683
540000,2.644
545000,2.615
550000,2.576
555000,2.637
560000,2.734
565000,2.686
570000,2.612
575000,2.549
580000,2.529
585000,2.561
590000,2.52
595000,2.495
600000,2.495
605000,2.537
610000,2.524
615000,2.52
620000,2.52
625000,2.52
630000,2.498
635000,2.546
640000,2.559
645000,2.676
650000,2.832
655000,3.008
660000,3.125
665000,3.169
670000,3.027
675000,2.9
680000,2.781
685000,2.671
690000,2.607
695000,2.607
700000,2.573
705000,2.532
710000,2.515
715000,2.51
720000,2.48
725000,2.458
730000,2.458
735000,2.507
740000,2.498
745000,2.48
750000,2.5
755000,2.52
760000,2.52
765000,2.642
770000,2.744
775000,2.798
780000,2.725
785000,2.666
790000,2.607
795000,2.529
800000,2.478
805000,2.451
810000,2.402
815000,2.412
820000,2.393
825000,2.417
830000,2.417
835000,2.393
840000,2.395
845000,2.402
850000,2.393
855000,2.415
860000,2.456
865000,2.495
870000,2.5
875000,2.52
880000,2.615
885000,2.637
890000,2.625
895000,2.585
900000,2.559
905000,2.568
910000,2.559
915000,2.578
920000,2.571
925000,2.576
930000,2.539
935000,2.52
940000,2.51
945000,2.5
950000,2.51
955000,2.529
960000,2.539
965000,2.673
970000,2.771
975000,2.869
980000,2.935
985000,2.949
990000,2.986
995000,2.998
1000000,3.088
1005000,3.057
1010000,3.093
1015000,2.922
1020000,2.793
1025000,2.715
1030000,2.676
1035000,2.637
1040000,2.6
1045000,2.559
1050000,2.549
1055000,2.527
1060000,2.49
1065000,2.49
1070000,2.49
1075000,2.483
1080000,2.48
1085000,2.52
1090000,2.686
1095000,2.778
1100000,2.795
1105000,2.695
1110000,2.666
1115000,2.617
1120000,2.588
1125000,2.549
1130000,2.607
1135000,2.725
1140000,2.664
1145000,2.607
1150000,2.598
1155000,2.588
1160000,2.549
1165000,2.529
1170000,2.529
1175000,2.529
1180000,2.566
1185000,2.598
1190000,2.573
1195000,2.578
1200000,2.559
